player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType
Riccardo Calafiori,riccardo-calafiori,R. Calafiori,D,957602,95.8,49.2,True,goal,regular,left-foot,low-right,,55,,3243,36,2157,47.4,7.0,,,,50.8,4.2,,,52.6,0,52.6,93.0,,own
Ferran Torres,ferran-torres,F. Torres,F,855833,87.8,32.8,False,goal,assisted,left-foot,low-left,0.1276504099369,13,,752,33,1948,53.0,1.3,,,,67.2,12.2,,,47.0,0,47.0,98.7,0.8255,regular
Niclas Füllkrug,niclas-fullkrug,N. Füllkrug,F,132645,92.9,46.0,False,goal,assisted,head,high-left,0.21388885378838,90,2.0,5465,1,835,53.5,25.9,,,,54.0,7.1,,,46.5,0,46.5,74.1,0.8665,regular
Dan Ndoye,dan-ndoye,D. Ndoye,M,944327,95.4,53.0,True,goal,assisted,right-foot,high-left,0.48375400900841,28,,1672,18,1028,52.9,29.7,,,,47.0,4.6,,,47.1,0,47.1,70.3,0.9748,regular
Robert Lewandowski,robert-lewandowski,R. Lewandowski,F,41789,88.5,50.0,False,goal,penalty,right-foot,low-left,0.7884,79,,4693,12,707,53.9,0.6,,,,50.0,11.5,,,46.1,0,46.1,99.4,0.995,penalty
Kylian Mbappé,kylian-mbappe,K. Mbappé,F,826643,88.5,50.0,True,goal,penalty,right-foot,low-right,0.7884,56,,3338,35,2062,46.1,7.0,,,,50.0,11.5,,,53.9,0,53.9,93.0,0.9919,penalty
Klaus Gjasula,klaus-gjasula,K. Gjasula,D,163673,88.5,50.0,False,goal,regular,left-foot,low-left,0.21742527186871,90,5.0,5663,1,637,52.9,4.4,,,,50.0,11.5,,,47.1,0,47.1,95.6,0.6508,regular
Klaus Gjasula,klaus-gjasula,K. Gjasula,D,163673,92.6,52.4,True,goal,regular,right-foot,high-left,,76,,4545,15,855,53.6,20.3,,,,47.6,7.4,,,46.4,0,46.4,79.7,,own
Andrej Kramarić,andrej-kramaric,A. Kramarić,F,67647,89.4,55.2,True,goal,assisted,right-foot,low-left,0.2172809690237,74,,4398,17,1002,53.0,3.2,,,,44.8,10.6,,,47.0,0,47.0,96.8,0.7061,regular
Qazim Laci,qazim-laci,Q. Laci,M,284395,93.1,45.5,False,goal,assisted,head,low-right,0.33544310927391,11,,615,35,2085,47.7,5.1,,,,54.5,6.9,,,52.3,0,52.3,94.9,0.4744,regular
