player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType
Răzvan Marin,razvan-marin,R. Marin,M,279563,88.5,50.0,False,goal,penalty,right-foot,high-left,0.7884,37,,2179,9,521,52.6,28.5,,,,50.0,11.5,,,47.4,0,47.4,71.5,0.9891,penalty
Ondrej Duda,ondrej-duda,O. Duda,M,246319,92.1,54.3,True,goal,assisted,head,low-right,0.24712020158768,24,,1424,22,1276,47.5,10.1,,,,45.7,7.9,,,52.5,0,52.5,89.9,0.4692,regular
Dani Olmo,dani-olmo,D. Olmo,M,789071,84.4,52.0,True,goal,assisted,left-foot,low-left,0.15752932429314,83,,4955,8,445,53.5,1.9,,,,48.0,15.6,,,46.5,0,46.5,98.1,0.3803,regular
Nico Williams,nico-williams,N. Williams,M,1085400,91.0,65.8,True,goal,fast-break,right-foot,high-centre,0.17046825587749,75,,4479,16,921,51.4,31.0,,,,34.2,9.0,,,48.6,0,48.6,69.0,0.5764,regular
Fabián Ruiz,fabian-ruiz,F. Ruiz,M,784655,96.8,54.7,True,goal,set-piece,head,low-left,0.476352840662,51,,3040,40,2360,53.0,13.9,,,,45.3,3.2,,,47.0,0,47.0,86.1,0.8111,regular
Rodri,rodri,Rodri,M,827606,83.4,54.0,True,goal,assisted,left-foot,low-right,0.14370803534985,39,,2288,7,412,45.8,1.3,,,,46.0,16.6,,,54.2,0,54.2,98.7,0.5206,regular
Robin Le Normand,robin-le-normand,R. Le Normand,D,787751,92.9,52.8,False,goal,regular,other,low-right,,18,,1032,28,1668,45.7,12.7,,,,47.2,7.1,,,54.3,0,54.3,87.3,,own
Jamal Musiala,jamal-musiala,J. Musiala,M,1010231,90.7,63.6,True,goal,assisted,right-foot,low-right,0.35243436694145,68,,4069,23,1331,46.1,5.7,,,,36.4,9.3,,,53.9,0,53.9,94.3,0.8296,regular
Kai Havertz,kai-havertz,K. Havertz,M,836705,88.5,50.0,True,goal,penalty,left-foot,low-right,0.7884,53,,3178,38,2222,45.8,0.6,,,,50.0,11.5,,,54.2,0,54.2,99.4,0.9961,penalty
Michael Gregoritsch,michael-gregoritsch,M. Gregoritsch,F,111483,97.7,56.5,True,goal,corner,left-foot,high-centre,0.46757286787033,66,,3953,25,1447,51.8,29.1,,,,43.5,2.3,,,48.2,0,48.2,70.9,0.7948,regular
Merih Demiral,merih-demiral,M. Demiral,D,806968,96.5,45.6,False,goal,corner,head,low-centre,0.19960002601147,59,,3531,32,1869,48.6,19.6,,,,54.4,3.5,,,51.4,0,51.4,80.4,0.6146,regular
Merih Demiral,merih-demiral,M. Demiral,D,806968,96.5,50.3,False,goal,corner,left-foot,high-left,0.3194200694561,1,,57,45,2643,52.9,31.6,,,,49.7,3.5,,,47.1,0,47.1,68.4,0.9858,regular
Nicolò Barella,nicolo-barella,N. Barella,M,363856,81.1,52.7,True,goal,regular,right-foot,low-left,0.089120268821716,16,,952,30,1748,54.6,12.7,,,,47.3,18.9,,,45.4,0,45.4,87.3,0.3423,regular
Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,826188,96.8,40.7,True,goal,corner,head,high-centre,0.19220964610577,11,,615,35,2085,51.3,22.8,,,,59.3,3.2,,,48.7,0,48.7,77.2,0.3749,regular
Nedim Bajrami,nedim-bajrami,N. Bajrami,M,825861,92.4,33.0,False,goal,regular,right-foot,high-right,0.068278282880783,1,,23,45,2677,46.2,25.9,,,,67.0,7.6,,,53.8,0,53.8,74.1,0.5908,regular
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,70996,87.7,46.4,True,goal,regular,right-foot,low-right,0.27945226430893,80,,4741,11,659,47.1,3.2,,,,53.6,12.3,,,52.9,0,52.9,96.8,0.6796,regular
Youri Tielemans,youri-tielemans,Y. Tielemans,M,331737,81.2,45.7,True,goal,assisted,right-foot,low-centre,0.041910164058208,2,,74,44,2626,51.3,5.1,,,,54.3,18.8,,,48.7,0,48.7,94.9,0.0575,regular
Luka Jović,luka-jovic,L. Jović,F,319129,94.8,50.2,False,goal,corner,head,low-left,0.18828135728836,90,6.0,5700,1,600,53.3,8.2,,,,49.8,5.2,,,46.7,0,46.7,91.8,0.3217,regular
Žan Karničnik,zan-karnicnik,Ž. Karničnik,D,896421,95.1,45.5,True,goal,fast-break,right-foot,low-right,0.60009491443634,69,,4087,22,1313,46.8,8.9,,,,54.5,4.9,,,53.2,0,53.2,91.1,0.9489,regular
Jude Bellingham,jude-bellingham,J. Bellingham,M,991011,94.6,50.4,False,goal,regular,head,high-left,0.23918735980988,13,,731,33,1969,53.0,27.2,,,,49.6,5.4,,,47.0,0,47.0,72.8,0.925,regular
Ollie Watkins,ollie-watkins,O. Watkins,F,555386,91.1,34.0,False,goal,assisted,right-foot,low-left,0.10004869103432,90,1.0,5400,1,0,53.9,3.2,,,,66.0,8.9,,,46.1,0,46.1,96.8,0.6488,regular
Harry Kane,harry-kane,H. Kane,F,108579,88.5,50.0,False,goal,penalty,right-foot,low-left,0.7884,18,,1054,28,1646,54.2,1.3,,,,50.0,11.5,,,45.8,0,45.8,98.7,0.9957,penalty
Xavi Simons,xavi-simons,X. Simons,M,997183,81.1,30.0,True,goal,regular,right-foot,high-left,0.025461031123996,7,,401,39,2299,52.3,25.3,,,,70.0,18.9,,,47.7,0,47.7,74.7,0.2062,regular
Jan Vertonghen,jan-vertonghen,J. Vertonghen,D,16921,89.8,40.1,True,goal,regular,left-foot,low-right,,85,,5068,6,332,46.5,13.3,,,,59.9,10.2,,,53.5,0,53.5,86.7,,own
Mattia Zaccagni,mattia-zaccagni,M. Zaccagni,F,293581,85.2,67.5,False,goal,assisted,right-foot,high-right,0.065478891134262,90,8.0,5839,1,461,46.3,26.6,,,,32.5,14.8,,,53.7,0,53.7,73.4,0.8182,regular
Luka Modrić,luka-modric,L. Modrić,M,15466,94.9,54.9,True,goal,regular,left-foot,high-left,0.41839522123337,55,,3257,36,2143,53.4,26.6,,,,45.1,5.1,,,46.6,0,46.6,73.4,0.9539,regular
