player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType,total_time,time_interval,is_goal,mean_xG_xGOT,diff_xG_xGOT
Cody Gakpo,cody-gakpo,C. Gakpo,F,862967,7.9,71.8,False,save,regular,right-foot,low-left,0.019023744389415,2,0.0,104,44,2596,54.2,1.3,0.59999999999999,46.9,0.0,28.2,7.9,46.9,0.59999999999999,45.8,0,45.8,98.7,0.2232,,2.0,0-14 mins,0,0.12111187219470751,-0.204176255610585
Mateo Retegui,mateo-retegui,M. Retegui,F,914501,21.2,45.4,False,save,assisted,left-foot,low-centre,0.055264890193939,73,0.0,4339,18,1061,48.6,1.3,1.9,50.5,0.0,54.6,21.2,50.5,1.9,51.4,0,51.4,98.7,0.0676,,73.0,60-74 mins,0,0.0614324450969695,-0.012335109806060993
Ruben Vargas,ruben-vargas,R. Vargas,M,872919,15.2,69.8,True,goal,assisted,right-foot,high-right,0.031711459159851,46,0.0,2727,45,2673,47.6,28.5,,,,30.2,15.2,,,52.4,0,52.4,71.5,0.2867,regular,46.0,45-59 mins,1,0.15920572957992551,-0.254988540840149
Fabian Rieder,fabian-rieder,F. Rieder,M,929620,18.3,16.200000000000003,True,save,free-kick,left-foot,high-right,0.031768936663866,45,1.0,2714,1,2686,45.8,20.9,1.5,53.2,0.0,83.8,18.3,53.2,1.5,54.2,0,54.2,79.1,0.2309,,46.0,45-59 mins,0,0.131334468331933,-0.199131063336134
Remo Freuler,remo-freuler,R. Freuler,M,115516,8.6,55.7,True,goal,assisted,left-foot,low-left,0.20096455514431,37,0.0,2180,9,520,53.9,3.2,,,,44.3,8.6,,,46.1,0,46.1,96.8,0.8643,regular,37.0,30-44 mins,1,0.532632277572155,-0.66333544485569
Breel Embolo,breel-embolo,B. Embolo,F,352296,11.7,58.8,True,save,assisted,right-foot,low-right,0.52414691448212,24,0.0,1406,22,1294,48.1,19.0,6.2,44.8,0.0,41.2,11.7,44.8,6.2,51.9,0,51.9,81.0,0.7594,,24.0,15-29 mins,0,0.64177345724106,-0.23525308551787993
Diogo Dalot,diogo-dalot,D. Dalot,D,843200,22.8,34.900000000000006,False,save,assisted,right-foot,low-right,0.022149257361889,90,4.0,5603,1,697,46.3,19.0,2.3,50.9,0.0,65.1,22.8,50.9,2.3,53.7,0,53.7,81.0,0.21,,94.0,90+ mins,0,0.1160746286809445,-0.187850742638111
Nélson Semedo,nelson-semedo,N. Semedo,M,252821,4.1,39.4,False,save,assisted,right-foot,low-centre,0.1725057810545,90,1.0,5440,1,860,50.7,12.7,0.90000000000001,54.2,0.0,60.6,4.1,54.2,0.90000000000001,49.3,0,49.3,87.3,0.2279,,91.0,90+ mins,0,0.20020289052725,-0.05539421894549998
Georges Mikautadze,mikautadze-georges,G. Mikautadze,F,1009372,11.5,50.0,True,goal,penalty,right-foot,low-right,0.7884,57,0.0,3373,34,2027,45.7,3.2,,,,50.0,11.5,,,54.3,0,54.3,96.8,0.9957,penalty,57.0,45-59 mins,1,0.89205,-0.20730000000000004
Khvicha Kvaratskhelia,khvicha-kvaratskhelia,K. Kvaratskhelia,F,889259,12.9,51.6,True,save,assisted,right-foot,low-centre,0.45204469561577,50,0.0,2947,41,2453,50.3,8.9,3.7,49.3,0.0,48.4,12.9,49.3,3.7,49.7,0,49.7,91.1,0.0277,,50.0,45-59 mins,0,0.239872347807885,0.42434469561577
