player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType
Romelu Lukaku,romelu-lukaku,R. Lukaku,F,78893,94.0,52.3,True,save,assisted,right-foot,low-centre,0.41153791546822,3,,133,43,2567,51.5,17.1,2.3,48.6,0.0,47.7,6.0,48.6,2.3,48.5,0,48.5,82.9,0.7038,
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,70996,89.5,47.2,True,miss,assisted,left-foot,left,0.16043667495251,3,,132,43,2568,65.7,5.6,8.0,48.6,0.0,52.8,10.5,48.6,8.0,34.3,0,34.3,94.4,,
Nicola Zalewski,nicola-zalewski,N. Zalewski,M,984184,73.7,65.6,True,save,assisted,right-foot,high-left,0.018668623641133,90,5.0,5686,1,614,52.4,32.3,2.4,50.2,0.0,34.4,26.3,50.2,2.4,47.6,0,47.6,67.7,0.2002,
Jakub Moder,jakub-moder,J. Moder,M,886242,71.6,42.1,True,save,assisted,left-foot,low-right,0.021185558289289,90,2.0,5506,1,794,47.1,3.2,1.2,50.7,0.0,57.9,28.4,50.7,1.2,52.9,0,52.9,96.8,0.1539,
Jakub Piotrowski,jakub-piotrowski,J. Piotrowski,M,825271,98.8,58.7,True,miss,regular,left-foot,close-left,0.13886666297913,89,,5327,2,73,58.7,4.2,,,,41.3,1.2,,,41.3,0,41.3,95.8,,
Karol Świderski,karol-swiderski,K. Świderski,F,576438,92.9,53.8,True,save,assisted,left-foot,low-left,0.2272008061409,89,,5326,2,74,54.5,5.1,1.4,48.0,0.0,46.2,7.1,48.0,1.4,45.5,0,45.5,94.9,0.6561,
Wout Weghorst,wout-weghorst,W. Weghorst,F,252215,92.1,53.4,False,goal,regular,left-foot,low-left,0.13051977753639,83,,4961,8,439,53.4,3.2,,,,46.6,7.9,,,46.6,0,46.6,96.8,0.8491,regular
Jakub Moder,jakub-moder,J. Moder,M,886242,96.0,52.1,True,miss,corner,head,right,0.47326856851578,80,,4754,11,646,25.7,26.4,2.9,66.2,0.0,47.9,4.0,66.2,2.9,74.3,0,74.3,73.6,,
Stefan de Vrij,stefan-de-vrij,S. de Vrij,D,91046,91.5,46.6,False,miss,corner,head,close-high,0.080307461321354,73,,4369,18,1031,49.9,56.9,,,,53.4,8.5,,,50.1,0,50.1,43.1,,
Denzel Dumfries,denzel-dumfries,D. Dumfries,M,759520,91.7,29.900000000000006,False,miss,assisted,right-foot,close-left,0.022703681141138,65,,3844,26,1556,56.8,9.7,,,,70.1,8.3,,,43.2,0,43.2,90.3,,
Jakub Moder,jakub-moder,J. Moder,M,886242,90.1,57.6,True,miss,assisted,right-foot,right,0.13386729359627,63,,3729,28,1671,26.6,8.3,7.7,55.6,0.0,42.4,9.9,55.6,7.7,73.4,0,73.4,91.7,,
Piotr Zieliński,piotr-zielinski,P. Zieliński,M,138605,76.8,42.3,True,save,assisted,left-foot,low-centre,0.032944016158581,59,,3484,32,1916,51.0,10.1,1.5,51.4,0.0,57.7,23.2,51.4,1.5,49.0,0,49.0,89.9,0.0297,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,976037,88.6,38.0,True,save,assisted,left-foot,low-right,0.11932069808245,58,,3475,33,1925,45.8,3.8,1.5,53.6,0.0,62.0,11.4,53.6,1.5,54.2,0,54.2,96.2,0.2753,
Xavi Simons,xavi-simons,X. Simons,M,997183,87.5,35.599999999999994,False,miss,fast-break,right-foot,close-right,0.079612195491791,54,,3224,37,2176,41.7,27.8,,,,64.4,12.5,,,58.3,0,58.3,72.2,,
Memphis Depay,memphis-depay,M. Depay,F,138833,68.2,57.7,False,miss,assisted,right-foot,left,0.016206953674555,49,,2886,42,2514,60.2,15.3,,,,42.3,31.8,,,39.8,0,39.8,84.7,,
Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,893549,79.6,32.900000000000006,False,block,assisted,right-foot,low-right,0.02791609801352,48,,2866,43,2534,47.6,19.0,17.5,65.0,0.0,67.1,20.4,65.0,17.5,52.4,0,52.4,81.0,,
Xavi Simons,xavi-simons,X. Simons,M,997183,77.1,37.0,False,block,regular,right-foot,low-centre,0.025146665051579,48,,2855,43,2545,49.6,19.0,19.9,61.4,0.0,63.0,22.9,61.4,19.9,50.4,0,50.4,81.0,,
Memphis Depay,memphis-depay,M. Depay,F,138833,87.8,38.3,False,miss,assisted,right-foot,close-left,0.065954655408859,45,1.0,2757,1,2643,58.3,4.2,,,,61.7,12.2,,,41.7,0,41.7,95.8,,
Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,893549,75.4,64.1,False,miss,assisted,right-foot,high-right,0.022590301930904,45,,2695,1,5,38.3,81.9,,,,35.9,24.6,,,61.7,0,61.7,18.1,,
