shot_id,player.name,player.slug,player.shortName,player.position,player.jerseyNumber,player.userCount,player.id,player.fieldTranslations.nameTranslation.ar,player.fieldTranslations.shortNameTranslation.ar,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,player.firstName,player.lastName,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType,shootoutOrder
17,Leandro Trossard,leandro-trossard,L. Trossard,F,19,21220,135666,"تروسارد, لياندرو",ل. تروسارد,20.4,38.9,0,,,True,block,regular,right-foot,low-centre,0.046590305864811,3357852,32,,1917,14,783,shot,0,49.9,19.0,15.0,41.9,0.0,38.9,20.4,41.9,15.0,50.1,0,50.1,81.0,,,
18,Róbert Boženík,robert-bozenik,R. Boženík,F,9,1274,912033,روبرت بوجينيك,ر. بوجينيك,19.2,50.0,0,,,False,save,assisted,right-foot,low-centre,0.067364364862442,3357851,31,,1836,15,864,shot,0,49.3,1.3,2.0,49.6,0.0,50.0,19.2,49.6,2.0,50.7,0,50.7,98.7,0.0427,,
19,Róbert Boženík,robert-bozenik,R. Boženík,F,9,1274,912033,روبرت بوجينيك,ر. بوجينيك,15.5,63.4,0,,,False,block,regular,right-foot,low-right,0.029201230034232,3357847,23,,1353,23,1347,shot,0,48.0,19.0,9.6,59.0,0.0,63.4,15.5,59.0,9.6,52.0,0,52.0,81.0,,,
20,Leandro Trossard,leandro-trossard,L. Trossard,F,19,21220,135666,"تروسارد, لياندرو",ل. تروسارد,26.5,31.9,0,,,True,miss,regular,right-foot,high,0.043159775435925,3357845,21,,1205,25,1495,shot,0,49.4,61.1,,,,31.9,26.5,,,50.6,0,50.6,38.9,,,
21,Jérémy Doku,jeremy-doku,J. Doku,F,11,37917,934386,"دوكو, جيريمي",ج. دوكو,12.1,74.8,0,,,True,block,assisted,left-foot,low-centre,0.024823529645801,3357842,16,,901,30,1799,shot,0,51.0,19.0,6.0,61.9,0.0,74.8,12.1,61.9,6.0,49.0,0,49.0,81.0,,,
22,Ivan Schranz,ivan-schranz,I. Schranz,F,26,387,123179,إيفان سكرانز,إ. سكرانز,2.9,34.0,0,,,False,goal,regular,right-foot,low-right,0.043639242649078,3357809,7,,365,39,2335,shot,0,47.8,3.8,,,,34.0,2.9,,,52.2,0,52.2,96.2,0.6381,regular,
23,Juraj Kucka,juraj-kucka,J. Kucka,M,33,762,48563,كوك يوراي,ك. يوراي,12.5,44.2,0,,,False,save,assisted,right-foot,low-left,0.13691549003124,3357808,7,,363,39,2337,shot,0,52.5,18.4,1.6,48.4,0.0,44.2,12.5,48.4,1.6,47.5,0,47.5,81.6,0.1423,,
24,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,90,68246,78893,روميلو لوكاكو,ر. لوكاكو,6.0,47.7,0,,,True,save,assisted,right-foot,low-centre,0.41153791546822,3357807,3,,133,43,2567,shot,0,51.5,17.1,2.3,48.6,0.0,47.7,6.0,48.6,2.3,48.5,0,48.5,82.9,0.7038,,
25,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,17,251026,70996,"دي بروين, كيفين",ك. د. بروين,10.5,52.8,0,,,True,miss,assisted,left-foot,left,0.16043667495251,3357806,3,,132,43,2568,shot,0,65.7,5.6,8.0,48.6,0.0,52.8,10.5,48.6,8.0,34.3,0,34.3,94.4,,,
26,Nicola Zalewski,nicola-zalewski,N. Zalewski,M,59,8142,984184,نيكولا زاليوسكي,ن. زاليوسكي,26.3,34.4,0,,,True,save,assisted,right-foot,high-left,0.018668623641133,3353757,90,5.0,5686,1,614,shot,0,52.4,32.3,2.4,50.2,0.0,34.4,26.3,50.2,2.4,47.6,0,47.6,67.7,0.2002,,
27,Jakub Moder,jakub-moder,J. Moder,M,15,6431,886242,جاكوب مودر,ج. مودر,28.4,57.9,0,,,True,save,assisted,left-foot,low-right,0.021185558289289,3353756,90,2.0,5506,1,794,shot,0,47.1,3.2,1.2,50.7,0.0,57.9,28.4,50.7,1.2,52.9,0,52.9,96.8,0.1539,,
28,Jakub Piotrowski,jakub-piotrowski,J. Piotrowski,M,6,1701,825271,,,1.2,41.3,0,,,True,miss,regular,left-foot,close-left,0.13886666297913,3353753,89,,5327,2,73,shot,0,58.7,4.2,,,,41.3,1.2,,,41.3,0,41.3,95.8,,,
29,Karol Świderski,karol-swiderski,K. Świderski,F,11,4286,576438,كارول سويدرسكي,ك. سويدرسكي,7.1,46.2,0,,,True,save,assisted,left-foot,low-left,0.2272008061409,3353754,89,,5326,2,74,shot,0,54.5,5.1,1.4,48.0,0.0,46.2,7.1,48.0,1.4,45.5,0,45.5,94.9,0.6561,,
30,Wout Weghorst,wout-weghorst,W. Weghorst,F,10,8884,252215,فوتر فيغورست,ف. فيغورست,7.9,46.6,0,,,False,goal,regular,left-foot,low-left,0.13051977753639,3353748,83,,4961,8,439,shot,0,53.4,3.2,,,,46.6,7.9,,,46.6,0,46.6,96.8,0.8491,regular,
31,Jakub Moder,jakub-moder,J. Moder,M,15,6431,886242,جاكوب مودر,ج. مودر,4.0,47.9,0,,,True,miss,corner,head,right,0.47326856851578,3354215,80,,4754,11,646,shot,0,25.7,26.4,2.9,66.2,0.0,47.9,4.0,66.2,2.9,74.3,0,74.3,73.6,,,
32,Stefan de Vrij,stefan-de-vrij,S. de Vrij,D,6,4375,91046,ستيفان دو فري,س. د. فري,8.5,53.4,0,,,False,miss,corner,head,close-high,0.080307461321354,3353746,73,,4369,18,1031,shot,0,49.9,56.9,,,,53.4,8.5,,,50.1,0,50.1,43.1,,,
33,Denzel Dumfries,denzel-dumfries,D. Dumfries,M,2,6776,759520,دينزل دومفريز,د. دومفريز,8.3,70.1,0,,,False,miss,assisted,right-foot,close-left,0.022703681141138,3353742,65,,3844,26,1556,shot,0,56.8,9.7,,,,70.1,8.3,,,43.2,0,43.2,90.3,,,
34,Jakub Moder,jakub-moder,J. Moder,M,15,6431,886242,جاكوب مودر,ج. مودر,9.9,42.4,0,,,True,miss,assisted,right-foot,right,0.13386729359627,3353741,63,,3729,28,1671,shot,0,26.6,8.3,7.7,55.6,0.0,42.4,9.9,55.6,7.7,73.4,0,73.4,91.7,,,
35,Piotr Zieliński,piotr-zielinski,P. Zieliński,M,20,14586,138605,پيوتر زيلينسكي,پ. زيلينسكي,23.2,57.7,0,,,True,save,assisted,left-foot,low-centre,0.032944016158581,3353740,59,,3484,32,1916,shot,0,51.0,10.1,1.5,51.4,0.0,57.7,23.2,51.4,1.5,49.0,0,49.0,89.9,0.0297,,
36,Jakub Kiwior,kiwior-jakub,J. Kiwior,D,15,9472,976037,"كيويور, جاكوب",ج. كيويور,11.4,62.0,0,,,True,save,assisted,left-foot,low-right,0.11932069808245,3353739,58,,3475,33,1925,shot,0,45.8,3.8,1.5,53.6,0.0,62.0,11.4,53.6,1.5,54.2,0,54.2,96.2,0.2753,,
37,Xavi Simons,xavi-simons,X. Simons,M,20,30439,997183,سيمونز ، تشافي,س. ، تشافي,12.5,64.4,0,,,False,miss,fast-break,right-foot,close-right,0.079612195491791,3353738,54,,3224,37,2176,shot,0,41.7,27.8,,,,64.4,12.5,,,58.3,0,58.3,72.2,,,
38,Memphis Depay,memphis-depay,M. Depay,F,,43310,138833,ميمفيس ديپاي,م. ديپاي,31.8,42.3,0,,,False,miss,assisted,right-foot,left,0.016206953674555,3353710,49,,2886,42,2514,shot,0,60.2,15.3,,,,42.3,31.8,,,39.8,0,39.8,84.7,,,
39,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,14,3806,893549,ماورو جونيور,م. جونيور,20.4,67.1,0,,,False,block,assisted,right-foot,low-right,0.02791609801352,3353711,48,,2866,43,2534,shot,0,47.6,19.0,17.5,65.0,0.0,67.1,20.4,65.0,17.5,52.4,0,52.4,81.0,,,
40,Xavi Simons,xavi-simons,X. Simons,M,20,30439,997183,سيمونز ، تشافي,س. ، تشافي,22.9,63.0,0,,,False,block,regular,right-foot,low-centre,0.025146665051579,3353709,48,,2855,43,2545,shot,0,49.6,19.0,19.9,61.4,0.0,63.0,22.9,61.4,19.9,50.4,0,50.4,81.0,,,
41,Memphis Depay,memphis-depay,M. Depay,F,,43310,138833,ميمفيس ديپاي,م. ديپاي,12.2,61.7,0,,,False,miss,assisted,right-foot,close-left,0.065954655408859,3353626,45,1.0,2757,1,2643,shot,0,58.3,4.2,,,,61.7,12.2,,,41.7,0,41.7,95.8,,,
42,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,14,3806,893549,ماورو جونيور,م. جونيور,24.6,35.9,0,,,False,miss,assisted,right-foot,high-right,0.022590301930904,3353625,45,,2695,1,5,shot,0,38.3,81.9,,,,35.9,24.6,,,61.7,0,61.7,18.1,,,
43,Cody Gakpo,cody-gakpo,C. Gakpo,F,18,34674,862967,كودي جاكبو,ك. جاكبو,7.0,42.7,0,,,False,miss,assisted,right-foot,high,0.22849798202515,3353623,42,,2504,4,196,shot,0,50.6,63.9,,,,42.7,7.0,,,49.4,0,49.4,36.1,,,
44,Jakub Kiwior,kiwior-jakub,J. Kiwior,D,15,9472,976037,"كيويور, جاكوب",ج. كيويور,9.7,28.9,0,,,True,save,regular,left-foot,low-centre,0.029082847759128,3353567,32,,1885,14,815,shot,0,49.0,3.8,1.4,44.6,0.0,28.9,9.7,44.6,1.4,51.0,0,51.0,96.2,0.054,,
45,Cody Gakpo,cody-gakpo,C. Gakpo,F,18,34674,862967,كودي جاكبو,ك. جاكبو,21.6,44.0,0,,,False,goal,assisted,right-foot,low-centre,0.047642592340708,3353563,29,,1729,17,971,shot,0,49.8,9.5,,,,44.0,21.6,,,50.2,0,50.2,90.5,0.0154,regular,
46,Cody Gakpo,cody-gakpo,C. Gakpo,F,18,34674,862967,كودي جاكبو,ك. جاكبو,18.7,26.6,0,,,False,miss,assisted,right-foot,left,0.019071932882071,3353561,28,,1670,18,1030,shot,0,59.5,1.4,,,,26.6,18.7,,,40.5,0,40.5,98.6,,,
47,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,14,3806,893549,ماورو جونيور,م. جونيور,1.8,39.7,0,,,False,block,assisted,head,low-centre,0.051631979644299,3353559,27,,1602,19,1098,shot,0,51.1,19.0,1.2,41.5,0.0,39.7,1.8,41.5,1.2,48.9,0,48.9,81.0,,,
48,Denzel Dumfries,denzel-dumfries,D. Dumfries,M,2,6776,759520,دينزل دومفريز,د. دومفريز,8.5,53.8,0,,,False,miss,assisted,head,left,0.15706253051758,3353560,27,,1600,19,1100,shot,0,61.7,12.5,1.4,43.5,0.0,53.8,8.5,43.5,1.4,38.3,0,38.3,87.5,,,
49,Memphis Depay,memphis-depay,M. Depay,F,,43310,138833,ميمفيس ديپاي,م. ديپاي,7.9,68.5,0,,,False,miss,fast-break,right-foot,left,0.14724907279015,3353556,23,,1365,23,1335,shot,0,96.8,12.5,2.5,0.0,0.0,68.5,7.9,0.0,2.5,3.2,0,3.2,87.5,,,
50,Memphis Depay,memphis-depay,M. Depay,F,,43310,138833,ميمفيس ديپاي,م. ديپاي,14.7,51.1,0,,,False,miss,assisted,right-foot,high,0.12041456252337,3353554,22,,1274,24,1426,shot,0,48.1,69.4,,,,51.1,14.7,,,51.9,0,51.9,30.6,,,
51,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,53566,151545,"فان ديك, فيرجيل",ف. ف. ديك,13.6,48.9,0,,,False,save,corner,right-foot,low-centre,0.035247884690762,3353552,20,,1166,26,1534,shot,0,48.7,17.7,1.9,50.0,0.0,48.9,13.6,50.0,1.9,51.3,0,51.3,82.3,0.053,,
52,Adam Buksa,adam-buksa,A. Buksa,F,9,3451,1138856,أدم بوكسا,أ. بوكسا,6.1,46.0,0,,,True,goal,corner,head,low-centre,0.12401009351015,3353550,16,,949,30,1751,shot,0,49.2,11.4,,,,46.0,6.1,,,50.8,0,50.8,88.6,0.0359,regular,
53,Xavi Simons,xavi-simons,X. Simons,M,20,30439,997183,سيمونز ، تشافي,س. ، تشافي,20.3,75.0,0,,,False,miss,assisted,right-foot,close-left,0.028496716171503,3353545,14,,813,32,1887,shot,0,58.3,1.4,,,,75.0,20.3,,,41.7,0,41.7,98.6,,,
54,Adam Buksa,adam-buksa,A. Buksa,F,9,3451,1138856,أدم بوكسا,أ. بوكسا,10.8,69.3,0,,,True,block,assisted,right-foot,low-centre,0.024317055940628,3353543,10,,587,36,2113,shot,0,50.4,19.0,9.4,66.8,0.0,69.3,10.8,66.8,9.4,49.6,0,49.6,81.0,,,
55,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,14,3806,893549,ماورو جونيور,م. جونيور,14.1,52.6,0,,,False,miss,assisted,right-foot,close-right,0.076308354735374,3353541,9,,533,37,2167,shot,0,43.2,6.9,,,,52.6,14.1,,,56.8,0,56.8,93.1,,,
56,Bartosz Salamon,bartosz-salamon,B. Salamon,D,18,719,75994,سالامون بارتوش,س. بارتوش,53.5,54.2,0,,,True,miss,fast-break,right-foot,left,0.011483704671264,3353505,8,,441,38,2259,shot,0,72.1,2.8,2.2,32.3,0.0,54.2,53.5,32.3,2.2,27.9,0,27.9,97.2,,,
57,Cody Gakpo,cody-gakpo,C. Gakpo,F,18,34674,862967,كودي جاكبو,ك. جاكبو,7.9,43.2,0,,,False,miss,assisted,head,right,0.063879080116749,3353504,6,,301,40,2399,shot,0,29.1,9.7,7.1,49.8,0.0,43.2,7.9,49.8,7.1,70.9,0,70.9,90.3,,,
58,Cody Gakpo,cody-gakpo,C. Gakpo,F,18,34674,862967,كودي جاكبو,ك. جاكبو,7.9,28.2,0,,,False,save,regular,right-foot,low-left,0.019023744389415,3353503,2,,104,44,2596,shot,0,54.2,1.3,0.59999999999999,46.9,0.0,28.2,7.9,46.9,0.59999999999999,45.8,0,45.8,98.7,0.2232,,
59,Federico Chiesa,federico-chiesa,F. Chiesa,F,7,24081,845386,فيديريكو تشيسا,ف. تشيسا,15.3,81.2,0,,,False,miss,assisted,left-foot,left,0.016554923728108,3405672,90,1.0,5447,1,853,shot,0,99.5,4.2,4.4,0.0,0.0,81.2,15.3,0.0,4.4,0.5,0,0.5,95.8,,,
60,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,7,6881,555540,لورنزو بيليجريني,ل. بيليجريني,23.4,36.6,0,,,False,miss,assisted,right-foot,high-right,0.023177424445748,3405648,85,,5076,6,324,shot,0,43.2,76.4,,,,36.6,23.4,,,56.8,0,56.8,23.6,,,
61,Steven Zuber,steven-zuber,S. Zuber,F,10,1154,37752,ستيفن زوبر,س. زوبر,5.2,30.7,0,,,True,miss,assisted,left-foot,right,0.070823445916176,3405647,83,,4959,8,441,shot,0,0.7,27.8,5.4,100.0,0.0,30.7,5.2,100.0,5.4,99.3,0,99.3,72.2,,,
62,Remo Freuler,remo-freuler,R. Freuler,M,8,2126,115516,ريمو فريلر,ر. فريلر,20.1,48.8,0,,,True,miss,corner,left-foot,high,0.036505304276943,3405644,79,,4694,12,706,shot,0,44.7,88.9,,,,48.8,20.1,,,55.3,0,55.3,11.1,,,
63,Gianluca Scamacca,gianluca-scamacca,G. Scamacca,F,90,7989,807301,جيانلوكا سكاماكا,ج. سكاماكا,21.7,53.4,0,,,False,miss,regular,right-foot,high,0.026800289750099,3405643,76,,4547,15,853,shot,0,46.6,88.9,,,,53.4,21.7,,,53.4,0,53.4,11.1,,,
64,Nicolò Fagioli,nicolo-fagioli,N. Fagioli,M,21,4138,901850,نيكولو فاجيولي,ن. فاجيولي,25.3,37.5,0,,,False,miss,assisted,right-foot,high,0.020411321893334,3405641,74,,4427,17,973,shot,0,45.9,75.0,,,,37.5,25.3,,,54.1,0,54.1,25.0,,,
65,Gianluca Scamacca,gianluca-scamacca,G. Scamacca,F,90,7989,807301,جيانلوكا سكاماكا,ج. سكاماكا,3.5,43.5,0,,,False,post,assisted,right-foot,left,0.36605548858643,3405642,74,,4414,17,986,shot,0,55.2,5.1,,,,43.5,3.5,,,44.8,0,44.8,94.9,,,
66,Mattia Zaccagni,mattia-zaccagni,M. Zaccagni,F,20,2800,293581,ماتيا زاكاني,م. زاكاني,9.9,51.5,0,,,False,miss,assisted,head,left,0.13757021725178,3405673,74,,4413,17,987,shot,0,60.3,15.3,4.7,43.5,0.0,51.5,9.9,43.5,4.7,39.7,0,39.7,84.7,,,
67,Mateo Retegui,mateo-retegui,M. Retegui,F,19,4293,914501,ريتيجوي,ريتيجوي,21.2,54.6,0,,,False,save,assisted,left-foot,low-centre,0.055264890193939,3405640,73,,4339,18,1061,shot,0,48.6,1.3,1.9,50.5,0.0,54.6,21.2,50.5,1.9,51.4,0,51.4,98.7,0.0676,,
68,Granit Xhaka,granit-xhaka,G. Xhaka,M,34,12699,117777,"شاكا, جرانيت",ج. شاكا,20.6,35.5,0,,,True,block,assisted,left-foot,low-centre,0.052981175482273,3405614,65,,3851,26,1549,shot,0,50.9,19.0,14.2,39.7,0.0,35.5,20.6,39.7,14.2,49.1,0,49.1,81.0,,,
69,Dan Ndoye,dan-ndoye,D. Ndoye,M,11,1797,944327,دان ندوي,د. ندوي,22.7,66.0,0,,,True,miss,assisted,left-foot,high-left,0.03410591557622,3405612,59,,3522,32,1878,shot,0,61.7,68.1,,,,66.0,22.7,,,38.3,0,38.3,31.9,,,
